de	ORDER_ADD
rúcula	O
para	O
acompañar	O
.	O

Para	O
beber	O
ella	O
quiere	ORDER_ADD
una	O
fanta	O
.	O

Yo	O
quiero	ORDER
una	O
pizza	O
de	ORDER_ADD
muzarella	O
,	O
con	ORDER_ADD
tomates	O
y	ORDER_ADD
albahaca	O
.	O

También	O
quiero	ORDER
dos	O
empanadas	O
de	ORDER_ADD
acelga	O
y	ORDER_ADD
una	O
de	O
cebolla	O
y	ORDER_ADD
queso	O
.	O

Te	O
voy	O
a	O
pedir	ORDER
también	O
una	O
empanada	O
de	ORDER_ADD
carne	O
picante	O
y	O
otra	ORDER_ADD
de	O
carne	O
común	O
.	O

Agregame	ORDER
una	O
empanada	O
más	O
de	O
carne	O
cortada	O
a	O
cuchillo	O
.	O

Jorgito	O
va	O
a	O
comer	ORDER
tres	O
empanadas	O
,	O
dos	O
de	O
muzarella	O
y	O
una	O
de	ORDER_ADD
jamón	O
y	ORDER_ADD
queso	O
.	O

Pedrito	O
quiere	ORDER
una	O
empanada	O
de	ORDER_ADD
atún	O
,	ORDER_ADD
dos	O
empanadas	O
de	O
choclo	O
,	ORDER_ADD
tres	O
empanadas	O
de	O
cebolla	O
y	ORDER_ADD
queso	O
.	O

David	O
quiere	ORDER
una	O
ensalada	O
de	ORDER_ADD
lechuga	O
,	ORDER_ADD
tomate	O
y	ORDER_ADD
palta	O
.	O

También	O
te	O
va	O
a	O
pedir	ORDER
un	O
chorizo	O
.	O

Carlos	O
quiere	ORDER
una	O
hamburguesa	O
con	ORDER_ADD
jamón	O
y	ORDER_ADD
queso	O
,	O
sin	ORDER_REMOVE
tomate	O
.	O

Juanita	O
quiere	ORDER
una	O
hamburguesa	O
con	ORDER_ADD
barbacoa	O
,	O
y	ORDER_ADD
un	O
helado	O
.	O

Juan	O
quiere	ORDER_ADD
también	ORDER
una	O
gaseosa	O
de	O
pomelo	O
.	O

Yo	O
te	O
voy	O
a	O
pedir	ORDER
un	O
sandwich	O
de	ORDER_ADD
tomate	O
solo	O
.	O

Quiero	ORDER
una	O
pizza	O
.	O

Elijo	ORDER_ADD
una	O
gaseosa	O
.	O

Voy	O
a	O
querer	ORDER
una	O
hamburguesa	O
.	O

Voy	O
a	O
pedir	ORDER
dos	O
empanadas	O
.	O

Voy	O
a	O
pedir	ORDER
te	ORDER
tres	O
hamburguesas	O
.	O

Deseo	ORDER
un	O
brownie	DESSERT
con	ORDER_ADD
helado	O
.	O

Tengo	O
ganas	O
de	O
comer	ORDER
tres	O
empanadas	O
de	ORDER_ADD
carne	O
.	O

Quisiera	ORDER
una	O
pizza	O
.	O

A	O
mí	O
dame	ORDER
dos	O
hamburguesas	O
con	ORDER_ADD
papas	O
.	O

Para	O
Luciana	O
te	O
pido	ORDER
una	O
hamburguesa	O
de	ORDER_ADD
lechuga	O
y	ORDER_ADD
tomate	O
.	O

Yo	O
voy	O
a	O
querer	ORDER
dos	O
empanadas	O
de	ORDER_ADD
atún	O
.	O

Para	ORDER
mí	O
una	O
pizza	O
de	ORDER_ADD
muzarella	O
.	O

Dame	ORDER
una	O
empanada	O
de	ORDER_ADD
choclo	O
.	O

Por	O
favor	O
,	ORDER
una	O
empanada	O
de	ORDER_ADD
queso	O
y	ORDER_ADD
cebolla	O
.	O

Yo	O
quiero	ORDER
una	O
hamburguesa	O
con	ORDER_ADD
roquefort	O
y	ORDER_ADD
cebolla	O
caramelizada	O
.	O

Te	O
encargo	ORDER
dos	O
hamburguesas	O
con	ORDER_ADD
panceta	O
y	ORDER_ADD
queso	O
.	O

Te	O
pido	ORDER
una	O
hamburguesa	O
con	ORDER_ADD
jamón	O
y	ORDER_ADD
queso	O
.	O

Quiero	O
pedir	ORDER
tres	O
hamburguesas	O
.	O

Voy	O
a	O
ordenar	ORDER_ADD
una	O
coca	O
cola	O
light	O
.	O

Yo	O
voy	O
a	O
pedir	ORDER_ADD
una	O
gaseosa	O
de	ORDER_ADD
pomelo	O
.	O

Deme	ORDER
una	O
empanada	O
.	O

Hoy	O
tengo	O
ganas	O
de	O
comer	ORDER
hamburguesas	O
.	O

Yo	O
hoy	O
voy	O
a	O
ordenar	ORDER
una	O
pizza	O
de	ORDER_ADD
jamón	O
y	ORDER_ADD
queso	O
.	O

Me	O
levanté	O
con	O
ganas	ORDER
de	O
una	O
hamburguesa	O
.	O

Voy	O
a	O
pedir	ORDER
te	O
dos	O
pizzas	O
con	ORDER_ADD
papas	O
,	O
una	ORDER_ADD
gaseosa	O
.	O

Quiero	ORDER
20	O
pizzas	O
de	ORDER_ADD
muzzarella	O
con	ORDER_ADD
papas	O
y	ORDER_ADD
gaseosa	O
.	O

Quiero	ORDER
una	O
pizza	O
de	ORDER_ADD
muzzarella	O
y	ORDER_ADD
tomate	O
.	O
